EmployeeID,Attrition,Age,HomeToWork,HourlnWeek,Involvement,WorkLifeBalance,JobSatisfaction,ESOPs,NumCompaniesWorked,OverTime,SalaryHikelastYear,LastPromotion,CurrentProfile,MonthlyIncome,TravelProfile_Rarely,TravelProfile_Yes,Department_Analytics,Department_Marketing,Department_Sales,EducationField_CA,EducationField_Engineer,EducationField_Marketing Diploma,EducationField_Statistics,Gender_F,Gender_M,Designation_AVP,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,MaritalStatus_Married,MaritalStatus_Single
5110001,0,35,5,69,1,1,1,1,1,1,20,2,2,18932,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
5110002,1,32,5,62,4,3,2,0,8,0,20,1,2,18785,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
5110003,0,31,5,45,5,3,2,1,3,0,26,1,3,22091,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
5110004,0,34,10,32,3,2,4,1,1,0,23,1,3,20302,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
5110005,0,37,27,49,3,4,4,1,8,0,21,1,9,21674,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
5110006,1,34,24,43,3,4,5,1,9,1,20,0,2,24950,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
5110007,0,35,1,62,3,1,3,1,1,0,19,0,8,23789,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
5110008,1,26,8,48,4,2,3,1,2,1,17,1,4,21744,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
5110009,0,45,5,58,3,3,3,0,6,1,24,3,3,26209,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
5110010,1,24,4,65,3,3,3,1,9,0,19,2,0,19577,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
5110011,0,41,11,57,4,5,4,1,3,0,17,5,9,29757,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
5110012,0,37,1,59,3,4,2,0,4,0,22,1,2,22491,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
5110013,0,28,11,59,3,1,3,0,3,0,18,1,7,18660,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
5110014,0,34,9,42,3,3,2,1,1,0,17,8,8,17691,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
5110015,1,31,21,71,5,3,3,0,3,1,16,2,2,19559,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
5110016,0,46,6,80,3,2,4,1,8,1,27,0,2,20021,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
5110017,1,33,30,54,4,2,3,0,1,0,27,3,8,19508,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
5110018,0,32,4,63,3,4,5,0,1,0,17,6,3,21725,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
5110019,0,33,9,60,3,4,2,0,0,0,18,4,10,17781,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
5110020,1,36,21,69,3,5,4,1,0,1,16,1,4,17148,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
5110021,1,36,23,48,3,3,3,1,4,1,16,0,1,17132,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
5110022,0,47,3,65,3,2,1,0,5,0,18,0,4,20070,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
5110023,0,36,5,61,5,3,1,0,2,1,17,1,1,17129,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
5110024,0,33,3,68,3,3,4,0,2,0,23,1,10,22220,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
5110025,0,41,7,35,3,1,3,1,1,0,17,8,7,24241,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
5110026,0,47,15,78,3,2,3,0,3,1,22,1,2,19591,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
5110027,0,34,17,74,3,3,4,1,2,0,19,2,2,18756,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
5110028,0,51,7,40,4,2,3,1,0,0,19,7,7,17838,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
5110029,0,52,20,41,3,5,2,1,0,0,23,1,2,19258,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
5110030,0,52,30,40,3,5,1,0,2,0,20,0,0,18482,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
5110031,0,39,13,75,4,1,3,0,1,1,20,3,8,24740,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
5110032,0,36,15,68,3,5,1,1,0,1,22,4,11,21586,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
5110033,0,53,1,34,3,3,5,1,7,0,19,8,10,23381,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
5110034,0,36,7,59,3,4,3,0,2,1,25,4,5,17306,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
5110035,0,43,9,72,1,5,3,1,1,0,17,1,4,17645,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
5110036,0,45,3,52,4,4,3,0,5,0,17,1,3,21985,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
5110037,0,36,1,77,5,4,5,1,2,1,26,7,7,25252,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
5110038,0,51,5,66,3,5,3,0,6,0,22,1,4,33639,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
5110039,1,20,24,39,4,1,4,0,2,1,19,1,1,18121,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
5110040,1,35,19,67,3,3,3,1,0,1,23,3,2,19614,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
5110041,0,34,3,70,3,4,1,0,2,1,18,9,13,29458,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
5110042,1,25,20,69,3,2,4,1,2,0,19,1,1,18210,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
5110043,1,43,22,59,1,2,3,0,7,1,18,3,2,18759,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
5110044,0,35,3,37,3,5,4,0,5,0,16,1,2,19425,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
5110045,0,50,11,80,4,5,2,0,6,0,20,1,3,25496,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
5110046,0,38,24,52,3,3,2,0,9,0,19,0,2,20745,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
5110047,1,34,8,66,5,4,3,1,1,1,29,0,6,21074,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
5110048,0,36,5,59,3,1,3,0,1,0,24,0,0,17318,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
5110049,0,57,25,53,2,4,2,1,3,1,21,1,4,24439,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
5110050,0,30,13,61,3,4,3,0,2,0,17,1,1,18642,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
5110051,1,36,11,59,4,4,4,0,2,0,18,1,1,17261,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
5110052,0,40,1,78,4,1,4,0,1,0,27,11,11,28503,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
5110053,0,31,9,67,1,3,2,1,0,0,17,2,2,17791,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
5110054,0,43,27,62,3,3,2,1,1,1,17,4,12,31959,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
5110055,0,39,18,64,4,5,2,1,1,1,20,3,10,27510,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
5110056,1,32,10,41,3,3,5,1,7,0,27,0,4,19200,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
5110057,0,34,9,62,1,1,3,1,1,0,26,4,8,21799,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
5110058,1,32,3,52,4,4,4,0,7,1,17,2,2,24907,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
5110059,0,36,22,79,1,3,4,0,1,0,23,2,13,17028,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
5110060,0,34,9,52,1,1,3,0,2,0,17,1,2,19404,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
5110061,0,36,3,59,3,1,5,0,3,0,18,0,0,17322,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
5110062,1,29,24,45,4,5,5,0,1,0,18,3,10,22336,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
5110063,0,42,13,42,5,5,4,0,2,0,19,12,10,22151,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
5110064,0,44,29,53,1,1,1,1,3,1,23,11,11,28320,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
5110065,1,32,1,62,4,3,3,1,0,1,19,1,2,18730,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
5110066,0,26,1,57,3,5,3,1,1,0,22,7,7,20296,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
5110067,0,26,22,69,3,3,1,1,4,0,17,2,3,19669,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
5110068,0,34,3,44,4,4,1,0,1,0,19,2,5,22949,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
5110069,0,29,4,63,4,5,3,0,1,0,23,0,7,26935,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5110070,0,35,13,55,3,5,4,1,2,0,20,2,1,18008,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
5110071,1,21,12,56,3,4,2,0,2,1,20,1,3,18323,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
5110072,0,44,30,55,3,5,5,1,9,0,17,1,2,26820,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
5110073,0,37,26,72,3,1,3,1,3,1,20,10,7,19449,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
5110074,1,39,32,72,3,2,5,1,8,1,19,1,1,22673,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
5110075,0,41,24,80,3,3,3,0,3,1,21,0,2,22082,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
5110076,0,30,6,54,3,3,5,0,5,0,19,2,8,18204,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
